source,target,rel,cone
27951,267834,-1,1
27951,269836,-1,1
27951,269942,-1,1
27951,269972,-1,1
27947,272883,-1,1
27813,264848,-1,1
27947,262257,-1,1
135323,24482,0,1
27893,17287,-1,1
135323,135895,0,1
27895,27727,-1,1
27895,272154,-1,1
27901,54994,-1,1
27901,264802,-1,1
135323,63956,0,1
27901,266776,-1,1
27923,267803,-1,1
27924,15753,-1,1
27928,28043,-1,1
27929,271885,-1,1
135323,49544,0,1
27932,27912,-1,1
27947,64110,-1,1
27932,52422,-1,1
27932,263170,-1,1
27932,263694,-1,1
27932,264719,-1,1
27932,265767,-1,1
27932,269780,-1,1
27932,269973,-1,1
27947,19377,-1,1
27947,26506,-1,1
27947,27668,-1,1
27947,27844,-1,1
27947,28097,-1,1
27947,52257,-1,1
27947,52331,-1,1
27947,52345,-1,1
135323,24516,0,1
27951,269991,-1,1
27810,52320,0,1
27796,265654,-1,1
27693,268273,-1,1
27693,268989,-1,1
27693,269073,-1,1
27693,269271,-1,1
27693,269452,-1,1
27693,269685,-1,1
27693,270288,-1,1
27693,270782,-1,1
27693,270940,-1,1
27693,271398,-1,1
27693,271558,-1,1
27696,27912,-1,1
27696,52287,-1,1
27696,52449,-1,1
27696,262146,-1,1
135391,59890,0,1
27696,263170,-1,1
27696,263193,-1,1
27696,263239,-1,1
27696,264719,-1,1
27696,264773,-1,1
27696,264847,-1,1
27696,267737,-1,1
27696,267760,-1,1
27696,269780,-1,1
27696,271971,-1,1
27696,273054,-1,1
27708,262204,-1,1
135391,59214,-1,1
27693,268148,-1,1
27693,268041,-1,1
27693,265067,-1,1
27693,263320,-1,1
27665,264793,-1,1
27665,270040,-1,1
135391,199938,0,1
27678,14650,-1,1
27678,20144,-1,1
135391,151420,0,1
27678,52234,-1,1
27678,52304,-1,1
27678,52305,-1,1
27678,52306,-1,1
135391,142002,-1,1
27678,61455,-1,1
27678,264798,-1,1
27688,264058,-1,1
135391,51185,0,1
135391,140920,-1,1
135391,138645,-1,1
27693,28262,-1,1
135391,138606,-1,1
135391,136993,-1,1
135391,136744,-1,1
135391,135377,-1,1
27693,53017,-1,1
27693,53081,-1,1
27693,53150,-1,1
27693,53213,-1,1
135391,132513,-1,1
27693,262281,-1,1
135391,132304,-1,1
135391,132139,-1,1
135391,140591,-1,1
27715,28299,-1,1
135391,45102,-1,1
27715,53244,-1,1
135386,23764,0,1
135386,17639,0,1
135386,10099,0,1
135386,9304,0,1
135377,151420,0,1
135377,25152,0,1
135377,3216,0,1
135375,139588,-1,1
135375,137952,-1,1
135373,132337,0,1
27768,263727,-1,1
27768,264705,-1,1
27768,264733,-1,1
27768,266677,-1,1
27768,27866,-1,1
27768,269905,-1,1
135373,38372,-1,1
27775,210897,-1,1
27775,263799,-1,1
27775,265822,-1,1
27775,272136,-1,1
27781,262188,-1,1
27790,264607,-1,1
27792,263777,-1,1
27792,267878,-1,1
27796,27860,-1,1
27796,27930,-1,1
27796,52469,-1,1
27796,263772,-1,1
27796,263795,-1,1
27768,270029,-1,1
