source,target,rel,type
3356,20485,-1,ipv6
5511,7922,-1,ipv6
6939,15412,-1,ipv6
6939,132602,-1,ipv6
6939,23520,-1,ipv6
4455,31133,-1,ipv6
4455,9583,-1,ipv6
20485,23764,-1,ipv6
52320,13786,-1,ipv6
3216,31500,-1,ipv6
3216,28917,-1,ipv6
12389,31500,-1,ipv6
8359,28917,-1,ipv6
31133,31500,-1,ipv6
58453,23764,-1,ipv6
20495,3223,-1,ipv6
20495,64049,-1,ipv6
20495,50509,-1,ipv6
20495,31500,-1,ipv6
3303,8220,0,ipv6
3303,16735,0,ipv6
3303,24482,0,ipv6
3303,2497,0,ipv6
3303,7738,0,ipv6
3303,6453,0,ipv6
3303,8359,0,ipv6
3303,1273,0,ipv6
3303,20764,0,ipv6
3303,4826,0,ipv6
3303,9304,0,ipv6
3303,4637,0,ipv6
3303,61568,0,ipv6
3303,2914,0,ipv6
3303,6830,0,ipv6
3303,9121,0,ipv6
3303,37468,0,ipv6
3303,52320,0,ipv6
3303,32787,0,ipv6
3303,4230,0,ipv6
3303,41095,0,ipv6
3303,58453,0,ipv6
3303,31500,0,ipv6
3303,14840,0,ipv6
3303,31133,0,ipv6
3303,3216,0,ipv6
3303,9002,0,ipv6
3303,262589,0,ipv6
3303,23764,0,ipv6
3303,23520,0,ipv6
3303,7473,0,ipv6
3303,20485,0,ipv6
3303,7195,0,ipv6
3303,11164,0,ipv6
3303,6762,0,ipv6
3303,9498,0,ipv6
3303,12389,0,ipv6
3303,5405,0,ipv6
3303,64049,0,ipv6
3303,22356,0,ipv6
3303,12741,0,ipv6
3303,20495,0,ipv6
3303,8529,0,ipv6
3303,267613,0,ipv6
3303,13786,0,ipv6
3303,28917,0,ipv6
3303,3257,0,ipv6
3303,35598,0,ipv6
3303,137409,0,ipv6
3303,37100,0,ipv6
3303,15830,0,ipv6
3303,6461,0,ipv6
3303,7713,0,ipv6
3303,4766,0,ipv6
3303,15412,0,ipv6
3303,12956,0,ipv6
3303,3491,0,ipv6
3223,9304,0,ipv6
3223,20485,0,ipv6
3223,4637,0,ipv6
3223,4455,0,ipv6
3223,7922,0,ipv6
3223,23764,0,ipv6
3223,20764,0,ipv6
3223,4826,0,ipv6
3223,15412,0,ipv6
3223,9002,0,ipv6
3223,22356,0,ipv6
3223,8359,0,ipv6
3223,7713,0,ipv6
3223,5511,0,ipv6
3223,3216,0,ipv6
3223,35598,0,ipv6
3223,137409,0,ipv6
3223,37100,0,ipv6
3223,6939,0,ipv6
3223,16735,0,ipv6
3223,24482,0,ipv6
3223,5405,0,ipv6
3223,31133,0,ipv6
3223,13786,0,ipv6
3223,28917,0,ipv6
3223,37468,0,ipv6
3223,52320,0,ipv6
3223,4230,0,ipv6
3223,41095,0,ipv6
3223,58453,0,ipv6
3223,61568,0,ipv6
3223,1031,0,ipv6
3223,33891,0,ipv6
3223,7195,0,ipv6
3223,8220,0,ipv6
3223,9121,0,ipv6
328578,58453,0,ipv6
32787,9002,0,ipv6
32787,7713,0,ipv6
32787,3216,0,ipv6
32787,3320,0,ipv6
32787,7473,0,ipv6
32787,20485,0,ipv6
32787,4455,0,ipv6
32787,12956,0,ipv6
32787,15412,0,ipv6
32787,37468,0,ipv6
32787,4230,0,ipv6
32787,52320,0,ipv6
32787,41095,0,ipv6
32787,58453,0,ipv6
32787,1031,0,ipv6
32787,61568,0,ipv6
32787,267613,0,ipv6
32787,6830,0,ipv6
32787,7660,0,ipv6
32787,137409,0,ipv6
32787,35598,0,ipv6
32787,37100,0,ipv6
32787,28917,0,ipv6
32787,13786,0,ipv6
32787,31133,0,ipv6
32787,8359,0,ipv6
32787,5511,0,ipv6
32787,20764,0,ipv6
32787,7018,0,ipv6
32787,8220,0,ipv6
32787,11164,0,ipv6
32787,7195,0,ipv6
32787,16735,0,ipv6
32787,6939,0,ipv6
32787,5405,0,ipv6
32787,24482,0,ipv6
50509,5405,0,ipv6
50509,31133,0,ipv6
50509,24482,0,ipv6
50509,28917,0,ipv6
50509,37100,0,ipv6
50509,35598,0,ipv6
50509,137409,0,ipv6
50509,61568,0,ipv6
50509,7195,0,ipv6
50509,37468,0,ipv6
50509,9049,0,ipv6
50509,20764,0,ipv6
50509,7713,0,ipv6
7473,3491,0,ipv6
7473,3356,0,ipv6
7473,4637,0,ipv6
7473,4766,0,ipv6
7473,1273,0,ipv6
7473,23764,0,ipv6
7473,7922,0,ipv6
7473,15412,0,ipv6
7473,9002,0,ipv6
7473,8359,0,ipv6
7473,7843,0,ipv6
7473,7713,0,ipv6
7473,3320,0,ipv6
7473,2497,0,ipv6
7473,13335,0,ipv6
7473,12389,0,ipv6
7473,6939,0,ipv6
7473,6762,0,ipv6
7473,41095,0,ipv6
7473,58453,0,ipv6
7473,2914,0,ipv6
7473,7660,0,ipv6
7473,33891,0,ipv6
9002,8220,0,ipv6
9002,1299,0,ipv6
9002,4455,0,ipv6
9002,23764,0,ipv6
9002,41095,0,ipv6
9002,6830,0,ipv6
9002,9121,0,ipv6
9002,13335,0,ipv6
9002,64049,0,ipv6
9002,6762,0,ipv6
9002,9498,0,ipv6
9002,7195,0,ipv6
9002,12389,0,ipv6
9002,6461,0,ipv6
9002,3320,0,ipv6
9002,15830,0,ipv6
9002,3491,0,ipv6
9002,4766,0,ipv6
9002,3257,0,ipv6
9002,13786,0,ipv6
9002,8359,0,ipv6
9002,6453,0,ipv6
9002,4637,0,ipv6
9002,1273,0,ipv6
9002,4826,0,ipv6
9002,24482,0,ipv6
9002,3216,0,ipv6
9002,20485,0,ipv6
9002,7545,0,ipv6
9002,37468,0,ipv6
9002,52320,0,ipv6
9002,4230,0,ipv6
9002,58453,0,ipv6
9002,31133,0,ipv6
9002,5511,0,ipv6
9002,8529,0,ipv6
9002,6939,0,ipv6
9002,7713,0,ipv6
9002,12956,0,ipv6
9002,9583,0,ipv6
9002,7660,0,ipv6
9002,137409,0,ipv6
9002,37100,0,ipv6
12741,13786,0,ipv6
12741,28917,0,ipv6
12741,37100,0,ipv6
12741,137409,0,ipv6
12741,35598,0,ipv6
12741,33891,0,ipv6
12741,61568,0,ipv6
12741,41095,0,ipv6
12741,52320,0,ipv6
12741,37468,0,ipv6
12741,15412,0,ipv6
12741,4455,0,ipv6
12741,20485,0,ipv6
12741,3216,0,ipv6
12741,7713,0,ipv6
12741,6461,0,ipv6
12741,24482,0,ipv6
12741,5405,0,ipv6
12741,6939,0,ipv6
12741,7195,0,ipv6
12741,8220,0,ipv6
12741,20764,0,ipv6
12741,20495,0,ipv6
12741,9304,0,ipv6
9049,31500,0,ipv6
9049,28917,0,ipv6
9049,35598,0,ipv6
9049,57304,0,ipv6
9049,3216,0,ipv6
9049,6939,0,ipv6
9049,24482,0,ipv6
9049,7195,0,ipv6
9049,20764,0,ipv6
7738,26615,0,ipv6
7738,23520,0,ipv6
7738,13786,0,ipv6
7738,6939,0,ipv6
7738,2497,0,ipv6
7738,3356,0,ipv6
7738,7195,0,ipv6
7738,10429,0,ipv6
7738,41095,0,ipv6
7738,7843,0,ipv6
7738,22356,0,ipv6
7738,8359,0,ipv6
7738,262589,0,ipv6
31500,24482,0,ipv6
31500,5405,0,ipv6
31500,28917,0,ipv6
31500,6939,0,ipv6
31500,37100,0,ipv6
31500,35598,0,ipv6
31500,137409,0,ipv6
31500,33891,0,ipv6
31500,7195,0,ipv6
31500,8220,0,ipv6
31500,61568,0,ipv6
31500,1031,0,ipv6
31500,52320,0,ipv6
31500,37468,0,ipv6
31500,4455,0,ipv6
31500,20764,0,ipv6
31500,4637,0,ipv6
31500,9304,0,ipv6
31500,7713,0,ipv6
31500,8359,0,ipv6
31500,6461,0,ipv6
41095,4637,0,ipv6
41095,9304,0,ipv6
41095,53013,0,ipv6
41095,1273,0,ipv6
41095,22356,0,ipv6
41095,8359,0,ipv6
41095,7843,0,ipv6
41095,64049,0,ipv6
41095,2497,0,ipv6
41095,24482,0,ipv6
41095,6939,0,ipv6
41095,16735,0,ipv6
41095,61832,0,ipv6
41095,8220,0,ipv6
41095,53062,0,ipv6
41095,15412,0,ipv6
41095,23764,0,ipv6
41095,7713,0,ipv6
41095,262589,0,ipv6
41095,6461,0,ipv6
41095,3216,0,ipv6
41095,37100,0,ipv6
41095,13335,0,ipv6
41095,31133,0,ipv6
41095,28917,0,ipv6
41095,13786,0,ipv6
41095,14840,0,ipv6
41095,58453,0,ipv6
41095,52320,0,ipv6
41095,4230,0,ipv6
41095,7545,0,ipv6
41095,37468,0,ipv6
41095,9121,0,ipv6
41095,6830,0,ipv6
41095,33891,0,ipv6
41095,267613,0,ipv6
41095,61568,0,ipv6
137409,33891,0,ipv6
137409,15412,0,ipv6
137409,4766,0,ipv6
137409,52468,0,ipv6
137409,5405,0,ipv6
137409,64049,0,ipv6
137409,22356,0,ipv6
137409,1031,0,ipv6
137409,4455,0,ipv6
137409,23764,0,ipv6
137409,262589,0,ipv6
137409,7713,0,ipv6
137409,58717,0,ipv6
137409,58453,0,ipv6
137409,24482,0,ipv6
137409,20764,0,ipv6
137409,13786,0,ipv6
137409,28917,0,ipv6
137409,35598,0,ipv6
137409,267613,0,ipv6
137409,15830,0,ipv6
137409,7195,0,ipv6
137409,9498,0,ipv6
137409,20495,0,ipv6
137409,13335,0,ipv6
137409,6830,0,ipv6
137409,61568,0,ipv6
137409,16735,0,ipv6
137409,8220,0,ipv6
137409,61832,0,ipv6
137409,9304,0,ipv6
137409,132602,0,ipv6
137409,37100,0,ipv6
137409,9583,0,ipv6
137409,7660,0,ipv6
137409,29076,0,ipv6
137409,6939,0,ipv6
137409,31133,0,ipv6
137409,14840,0,ipv6
137409,37468,0,ipv6
137409,52320,0,ipv6
137409,4230,0,ipv6
137409,20485,0,ipv6
137409,3216,0,ipv6
137409,264409,0,ipv6
137409,4637,0,ipv6
137409,8359,0,ipv6
137409,7843,0,ipv6
53013,7195,0,ipv6
53013,267613,0,ipv6
53013,61568,0,ipv6
53013,52320,0,ipv6
53013,24482,0,ipv6
53013,6939,0,ipv6
52320,264409,0,ipv6
52320,16735,0,ipv6
52320,24482,0,ipv6
52320,10429,0,ipv6
52320,8220,0,ipv6
52320,9304,0,ipv6
52320,4637,0,ipv6
52320,20764,0,ipv6
52320,4826,0,ipv6
52320,8359,0,ipv6
52320,7843,0,ipv6
52320,13335,0,ipv6
52320,14840,0,ipv6
52320,31133,0,ipv6
52320,4230,0,ipv6
52320,37468,0,ipv6
52320,58453,0,ipv6
52320,61568,0,ipv6
52320,1031,0,ipv6
52320,9121,0,ipv6
52320,20485,0,ipv6
52320,23520,0,ipv6
52320,23764,0,ipv6
52320,4455,0,ipv6
52320,26615,0,ipv6
52320,262589,0,ipv6
52320,3216,0,ipv6
52320,12389,0,ipv6
52320,5405,0,ipv6
52320,9498,0,ipv6
52320,58717,0,ipv6
52320,20495,0,ipv6
52320,8529,0,ipv6
52320,22356,0,ipv6
52320,64049,0,ipv6
52320,37100,0,ipv6
52320,35598,0,ipv6
52320,28917,0,ipv6
52320,9583,0,ipv6
52320,33891,0,ipv6
52320,4766,0,ipv6
52320,29076,0,ipv6
52320,7713,0,ipv6
52320,15830,0,ipv6
